date,close,open,high,low      
10/07/2022,11101.50,11494.50,11564.50,11043.25      
10/06/2022,11541.75,11628.00,11729.75,11505.25      
10/05/2022,11623.75,11630.25,11711.00,11366.50      
10/04/2022,11640.75,11314.50,11675.00,11281.50     
10/03/2022,11285.75,11030.00,11358.25,10890.75     
09/30/2022,11035.50,11220.00,11357.25,11024.25      
09/29/2022,11228.25,11544.00,11567.25,11091.50      
09/28/2022,11555.75,11361.00,11613.50,11141.50     
09/27/2022,11333.75,11315.50,11568.25,11233.50     
09/26/2022,11316.25,11362.50,11537.75,11256.50      
09/23/2022,11376.75,11583.75,11600.25,11229.00      
09/22/2022,11565.50,11661.25,11796.00,11510.00      
09/21/2022,11710.00,11946.00,12140.50,11647.50      
09/20/2022,11922.25,12045.75,12092.50,11828.25      
09/19/2022,12024.00,11920.00,12066.25,11792.25     
09/16/2022,11814.58,11880.00,11880.00,11750.50     
09/15/2022,11934.75,12159.00,12187.75,11866.50      
09/14/2022,12142.00,12050.25,12173.00,12001.75     
09/13/2022,12036.50,12769.50,12889.00,12003.25      
09/12/2022,12740.75,12626.00,12773.75,12573.25     
09/09/2022,12592.50,12345.25,12613.75,12329.50     
09/08/2022,12321.75,12267.75,12379.50,12115.75     
09/07/2022,12263.25,12019.75,12306.25,11921.50     
09/06/2022,12019.00,12110.50,12244.50,11930.00      
09/05/2022,12147.00,12123.25,12182.50,12056.00     
09/04/2022,12124.00,12112.25,12128.50,12055.75    
09/02/2022,12104.25,12297.75,12461.50,12040.25      
09/01/2022,12292.25,12284.75,12299.50,12017.75     
08/31/2022,12285.25,12366.00,12513.00,12276.25      
08/30/2022,12358.75,12503.50,12658.25,12247.50      
08/29/2022,12492.75,12485.00,12610.25,12401.50      
08/26/2022,12620.50,13153.75,13220.00,12557.50      
08/25/2022,13156.00,12944.00,13161.50,12925.00     
08/24/2022,12929.75,12892.00,13011.25,12825.75     
08/23/2022,12896.50,12933.75,13018.50,12823.50      
08/22/2022,12909.75,13226.50,13226.50,12874.50      
08/19/2022,13268.50,13534.25,13534.50,13228.75      
08/18/2022,13523.25,13503.00,13575.50,13410.75     
08/17/2022,13493.25,13658.00,13672.00,13406.25      
08/16/2022,13658.25,13674.75,13740.75,13522.75      
08/15/2022,13681.25,13571.50,13706.00,13495.25     
08/12/2022,13577.75,13344.25,13583.25,13312.00     
08/11/2022,13311.25,13380.50,13575.00,13285.00      
08/10/2022,13392.00,13050.00,13408.00,12982.00     
08/09/2022,13031.50,13206.25,13233.75,12963.25      
08/08/2022,13183.25,13227.75,13419.25,13120.50      
08/05/2022,13228.75,13327.25,13384.50,13085.00      
08/04/2022,13327.00,13247.00,13356.00,13184.75     
08/03/2022,13271.50,12921.00,13310.25,12867.25     
08/02/2022,12924.50,12974.25,13097.00,12814.75      
08/01/2022,12962.50,12981.00,13108.75,12851.75      
07/29/2022,12971.50,12920.25,13012.00,12744.25     
07/28/2022,12737.50,12580.00,12948.00,12449.00     
07/27/2022,12619.00,12192.00,12690.00,12191.75     
07/26/2022,12112.50,12311.25,12334.00,12072.00      
07/25/2022,12354.50,12444.50,12498.50,12266.50      
07/22/2022,12423.50,12559.25,12698.50,12343.75      
07/21/2022,12640.00,12440.00,12655.25,12373.50     
07/20/2022,12465.25,12330.50,12517.50,12235.75     
07/19/2022,12274.00,11909.50,12328.50,11889.50     
07/18/2022,11907.00,12043.50,12186.50,11857.00      
07/15/2022,12007.50,11810.50,12021.50,11740.25     
07/14/2022,11797.50,11729.50,11835.00,11511.25     
07/13/2022,11762.25,11780.00,11970.00,11479.25      
07/12/2022,11779.00,11900.50,12025.50,11712.00      
07/11/2022,11884.25,12149.75,12149.75,11853.00      
07/08/2022,12152.00,12115.00,12211.00,11952.50     
07/07/2022,12138.50,11901.25,12168.50,11836.50     
07/06/2022,11880.25,11820.25,11974.25,11727.75     
07/05/2022,11808.50,11606.00,11815.75,11389.25     
07/04/2022,11695.25,11571.75,11745.00,11501.00    
07/03/2022,11572.00,11614.25,11614.25,11562.00    
07/01/2022,11611.25,11507.50,11629.75,11381.75     
06/30/2022,11529.50,11691.50,11696.75,11351.00      
